시점,행정구역별,신혼부부 수 (A),맞벌이 비율,주택 소유율,소유부부기준 1쌍당 평균 소유주택 수,평균 출생아 수,육아휴직 사용률,신혼부부 가구수 당 종합병원,신혼부부당 세수,거처동일비율,단독주택,아파트,연립,다세대,기타주거,신혼부부 가구수 당 고등학교수,신혼부부 가구수 당 유치원수,신혼부부 가구수 당 3세대 이상 가구,혼인평균남자,혼인평균여자,신혼부부 가구수 당 응급시설
2015,전국,1471647,40.5,43.5,1.3,0.93,19.1,0.000200456,23013.08917,84.73,21.49,61.13,2.12,10.51,4.76,0.001592773,0.006068031,,31.8,29.4,0
2015,서울특별시,291341,47.4,36.7,1.4,0.77,22.6,0.000144161,58484.16533,86.71,19.45,50.53,2.75,21.63,5.64,0.001091504,0.003047975,1.019101328,32.4,30.1,0.000233403
2015,부산광역시,90578,39.5,48.5,1.3,0.93,19.7,0.000264965,52825.39192,86.49,15.7,69.14,1.62,8.08,5.45,0.00160083,0.004449204,1.245059507,32.1,29.8,0.000430568
2015,대구광역시,62811,37.6,46.7,1.2,0.96,19.1,0.000127366,45579.45858,85.59,25.79,65.59,0.73,4.81,3.08,0.001464712,0.006240945,1.256722549,31.9,29.5,0.000445782
2015,인천광역시,89747,38.2,45.4,1.3,0.95,18.7,0.000178279,41535.83841,87.43,9.82,61.82,2.01,20.81,5.55,0.001370519,0.004657537,1.022039734,31.6,29.3,0.000233991
2015,광주광역시,40707,41.8,51.8,1.2,1.03,18.9,0.000491316,38170.06896,80.25,18.39,76.07,1.5,1.11,2.94,0.001645909,0.007738227,0.997911907,31.9,29.3,0.000589579
2015,대전광역시,43803,41.5,43.3,1.2,0.96,19.3,0.000205465,37137.72146,85.09,24.38,67,1.21,4,3.41,0.001415428,0.006118302,1.028514029,31.6,29.2,0.000251124
2015,울산광역시,38537,33.9,54.9,1.2,0.99,13.8,0.000155695,45678.72777,87.67,20.39,70.68,1.53,3.93,3.47,0.001453149,0.005034123,0.837714404,31.4,29.2,0.000337338
2015,세종특별자치시,8107,47.8,45.3,1.3,0.93,21.2,0,63158.76119,86.05,11.32,85.12,0.39,0.58,2.59,0.001603552,0.005304058,0.81966202,31.8,29.5,0.0002467
2015,경기도,387989,40.6,41,1.3,0.91,19.1,0.000136602,46098.10067,87.02,18.05,63.39,2.1,11.9,4.56,0.001185601,0.005639335,1.045573457,31.8,29.4,0.000234543
2015,강원도,38141,38.7,42.3,1.3,1.02,18.9,0.000367059,41793.80887,76.19,27.82,60.9,2.33,1.44,7.51,0.003067565,0.010120343,1.381951181,31.3,28.8,0.000734118
2015,충청북도,43553,39.6,46.5,1.3,1.02,18.1,0.000252566,43280.44723,82.32,29.11,61.84,1.99,3.01,4.05,0.001905724,0.007875462,1.225977545,31.2,28.7,0.000482171
2015,충청남도,60711,37.1,45.3,1.3,1.03,16.9,0.000181186,46720.90374,82.4,25.64,64.87,1.76,3.47,4.26,0.001910692,0.008285154,1.166394887,31.2,28.5,0.000362373
2015,전라북도,44982,37.2,46.8,1.3,1.09,17.4,0.000244542,39947.67558,77.51,30.88,62.22,1.89,1.46,3.56,0.002956738,0.011782491,1.329576275,31.7,28.8,0.000511316
2015,전라남도,45472,34,46.3,1.3,1.15,16,0.000483814,44040.65698,72.57,33.5,58.38,1.73,1.17,5.24,0.003188776,0.012139338,1.2846367,31.6,28.6,0.001099578
2015,경상북도,70039,34.9,47.2,1.3,1.03,17.1,0.000271277,49268.73466,80.54,31.12,58.09,2.28,4.07,4.44,0.002755608,0.010151487,1.224589157,31.4,28.8,0.000528277
2015,경상남도,96961,36.4,50.6,1.2,1.02,16,0.000226895,46773.72272,84.17,26.77,64.41,1.93,2.54,4.36,0.001969864,0.007002816,1.090407483,31.5,29.1,0.000629119
2015,제주특별자치도,18173,43.3,42,1.3,1.06,22.4,0.000385187,61853.72855,80.18,42.05,30.44,8.96,11.91,6.65,0.001650801,0.006438122,1.235624278,31.9,29.2,0.000385187
2016,전국,1436948,42,44.1,1.3,0.92,20,0.000207384,24681.20699,86.34,20.52,61.83,2.12,10.98,4.55,0.001637498,0.006254228,,32,29.6,0
2016,서울특별시,278294,49.3,38.3,1.4,0.76,23.8,0.00015092,64766.67195,88.33,18.21,50.37,2.67,23.52,5.23,0.001142676,0.00315853,1.03227522,32.6,30.3,0.000240753
